PepName,Really_Taste,Umami_SCM,Bitter_SCM,Bitter_BERT,Umami_YYDS,Q_Value,Q,Len,Taste_num
RRPPGF,Bitter,0,0,0,0,1560.0169999999996,0,6,0
RGPPFF,Bitter,0,0,0,1,1871.3833333333328,0,6,0
RGPPGGV,Bitter,0,0,0,1,1102.6941428571429,1,7,0
RGPPGIG,Bitter,0,0,0,0,1285.6232857142854,0,7,0
RGPPGGF,Bitter,0,0,0,0,1232.724,0,7,0
RGPPFGG,Bitter,0,0,0,0,1232.724,0,7,0
RGPPGFG,Bitter,0,0,0,0,1232.724,0,7,0
RGPPGFF,Bitter,0,0,0,1,1604.042857142857,0,7,0
RGPPFFF,Bitter,0,0,0,0,1975.3617142857145,0,7,0
RGPPGGFF,Bitter,0,0,0,1,1403.5375,0,8,0
RGPPGGGFF,Bitter,0,0,0,1,1247.5888888888887,0,9,0
RGPPF,Bitter,0,0,0,1,1725.8136,0,5,0
PPFIV,Bitter,0,0,0,0,2511.3168,0,5,0
GPPFIV,Bitter,0,0,0,0,2092.764,0,6,0
RPPFIV,Bitter,0,0,0,0,2214.603,0,6,0
RGPFIV,Bitter,0,0,0,0,1773.0361666666665,0,6,0
RGPPFI,Bitter,0,0,0,0,1933.0991666666666,0,6,0
PFIV,Bitter,0,0,0,0,2476.79575,0,4,0
VIFPPG,Bitter,0,0,0,0,2092.764,0,6,0
VIFPPGR,Bitter,0,0,0,0,1898.231142857143,0,7,0
FPPFIV,Bitter,0,0,0,0,2525.969333333333,0,6,0
KPPFIV,Bitter,0,0,0,0,2342.8126666666667,0,6,0
GGRGPPFIV,Bitter,0,0,0,0,1476.4019999999996,0,9,0
RGPPFIVGG,Bitter,0,0,0,0,1476.4019999999996,0,9,0
GGVVV,Bitter,0,0,0,0,1013.4138,1,5,0
FFPGG,Bitter,0,0,0,1,1569.573,0,5,0
GGFFGG,Bitter,0,0,0,1,866.4106666666668,1,6,0
RPFFGG,Bitter,0,0,0,1,1429.8165,0,6,0
FFGG,Bitter,0,0,0,1,1299.616,0,4,0
RRPP,Bitter,0,0,0,0,1690.2175,0,4,0
FFPE,Bitter,0,0,0,0,2099.33375,0,4,0
GGFF,Bitter,0,0,0,1,1299.616,0,4,0
FFPG,Bitter,0,0,0,0,1961.96625,0,4,0
GGRPFFGG,Bitter,0,0,0,1,1072.362375,1,8,0
PFPP,Bitter,0,0,0,0,2636.85875,0,4,0
RGGFIV,Bitter,0,0,0,0,1331.4693333333332,0,6,0
RGPKPIIV,Bitter,0,0,0,0,1894.775625,0,8,0
RGPPFIIV,Bitter,0,0,0,0,2032.143125,0,8,0
RGPEPIIV,Bitter,0,0,0,0,1775.9228749999993,0,8,0
RGPFPIIV,Bitter,0,0,0,0,2032.143125,0,8,0
VYPFPPG,Umami,0,0,0,0,2157.9495714285713,0,7,1
VYPFPPGI,Umami,0,0,0,0,2259.39675,0,8,1
VYPFPPGIGG,"Sour,Sweet,Salt,Umami",0,0,0,0,1807.5174,0,10,1
VYPFGGGINH,"Salt,Umami",0,0,0,0,1336.1677,0,10,1
PGPIP,"Sour,Sweet,Umami",0,0,1,0,2183.5460000000003,0,5,1
PGPGPG,"Umami,Kokumi",0,0,0,1,1324.7005,0,6,1
PFPGPI,Umami,0,0,0,0,2252.827,0,6,1
PFPGPIP,Umami,0,0,0,0,2309.4804285714285,0,7,1
YPFPGPI,Umami,0,0,0,0,2340.878714285714,0,7,1
AFDEK,Umami,1,1,1,1,1183.9884000000004,1,5,1
EEDGK,Umami,1,0,0,1,627.8291999999999,1,5,1
EAGIQ,Umami,0,0,1,0,829.4608000000002,1,5,1
EQQQQ,"Sour,Sweet,Umami",1,0,1,1,27.71240000000001,1,5,1
LPEEV,Umami,1,1,0,1,1571.4842,0,5,1
CALTP,Umami,1,1,1,1,1448.2118,0,5,1
EESLA,Umami,1,1,0,1,858.1287999999997,1,5,1
EQEEK,Umami,1,0,1,1,609.1949999999998,1,5,1
VVGET,Umami,1,0,0,1,873.4183999999998,1,5,1
SAEQT,"Sour,Umami,Astringency",1,1,1,1,331.5932,1,5,1
HCHTN,"Umami,Kokumi,Astringency",1,0,1,1,505.0346,1,5,1
SEGGR,Umami,0,0,0,1,264.2234,1,5,1
KSAEN,Umami,1,1,1,1,581.4825999999998,1,5,1
KGDEE,Umami,1,1,1,1,627.8291999999999,1,5,1
ALPAEV,Umami,1,1,0,1,1461.6698333333334,0,6,1
NVVGET,Umami,1,0,1,1,742.1826666666666,1,6,1
CCNKSV,Umami,1,1,1,1,886.319,1,6,1
ENINEL,Umami,1,0,0,1,1110.0886666666668,1,6,1
ALPEEV,Umami,1,1,0,1,1431.4091666666666,0,6,1
TESSSE,"Sour,Salt,Umami,Kokumi",1,1,0,1,276.72583333333336,1,6,1
KAPSTM,"Sweet,Umami",0,0,1,1,1110.0886666666668,1,6,1
INEL,"Sweet,Salt,Umami",1,0,1,1,1506.2645,0,4,1
GPDPER,"Sweet,Umami",0,0,0,1,1186.5366666666666,1,6,1
INKPGL,"Sour,Umami",0,0,1,0,1604.2134999999996,0,6,1
SDSCIR,"Sour,Salt,Umami",0,1,1,1,887.1153333333333,1,6,1
QDSIGS,"Sour,Umami",1,0,0,1,581.3233333333334,1,6,1
ADGLWL,"Sour,Umami",0,0,1,0,1068.6793333333333,1,6,1
GFLGPQ,Umami,0,0,1,1,1260.9938333333332,0,6,1
WDDMEK,Umami,1,1,0,1,788.3699999999999,1,6,1
VADLMR,Umami,1,0,0,1,1235.1129999999996,0,6,1
STELFK,Umami,1,0,1,1,1258.2066666666667,0,6,1
DALKKK,Umami,1,1,1,1,1365.3135,0,6,1
KEMQKN,Umami,1,1,1,1,805.4911666666666,1,6,1
HNESQN,Umami,0,1,1,1,193.1108333333333,1,6,1
TGDPEK,Umami,1,0,1,1,946.4421666666667,1,6,1
KGGGGP,"Sour,Umami",0,0,1,1,691.6154999999999,1,6,1
AHSVRFY,"Sour,Salt,Umami",1,1,1,0,1308.4894285714286,0,7,1
ASNMSDL,Umami,1,1,1,1,736.8358571428571,1,7,1
LQPLNAH,"Sour,Umami,Astringency",1,0,1,1,1243.3038571428572,0,7,1
IQQDDCK,Umami,1,0,1,1,906.454857142857,1,7,1
SEASNNK,Umami,1,1,1,1,433.43285714285713,1,7,1
IGPGLGR,Umami,0,0,0,0,1252.8598571428572,0,7,1
AGDDAPR,Umami,1,1,1,1,846.0472857142856,1,7,1
KDGGGGK,"Sweet,Umami",0,0,1,1,505.78542857142855,1,7,1
AEASALR,Umami,1,1,0,1,847.7537142857143,1,7,1
LGDVLVR,Umami,0,1,1,0,1355.5868571428568,0,7,1
FVGLQER,Umami,1,1,1,1,1126.5841428571428,1,7,1
RGEPNND,Umami,1,0,0,1,663.1181428571427,1,7,1
AGAGPTP,Umami,0,0,1,1,1028.635142857143,1,7,1
VYETPDR,Umami,0,0,0,1,1352.5152857142855,0,7,1
DAPYDYK,Umami,1,1,1,1,1671.2761428571425,0,7,1
NQEGLFR,Umami,0,1,0,1,897.5814285714285,1,7,1
AQALQAQA,Umami,1,1,1,1,629.5015,1,8,1
KGDEESLA,"Sweet,Umami",1,1,1,1,791.3562499999997,1,8,1
KGSLADEE,"Umami,Kokumi",1,1,1,1,791.3562499999998,1,8,1
SLADEEKG,Umami,1,1,0,1,791.35625,1,8,1
SLAKGDEE,Umami,1,1,1,1,791.3562499999998,1,8,1
YGGTPPFV,Umami,0,0,0,1,1611.9777499999998,0,8,1
VAPEEHPT,"Sweet,Umami",1,1,0,1,1219.5845,0,8,1
FAGDDAPR,"Umami,Astringency",1,1,1,1,1065.195375,1,8,1
PECGLVVG,"Sour,Umami,Astringency",1,1,1,0,1249.7456249999998,0,8,1
FADNVFAL,"Sour,Sweet,Umami",1,1,1,1,1424.44125,0,8,1
RPNPFENR,Umami,1,0,0,1,1260.1975,0,8,1
DPLRGGYY,Umami,0,0,1,1,1509.848,0,8,1
QAEADMAR,"Sweet,Umami",1,1,0,1,651.301125,1,8,1
HGEDKEGE,Umami,1,0,1,1,523.489625,1,8,1
IPIPATKT,"Sweet,Umami",0,1,1,0,1793.54175,0,8,1
GRVSNCAA,"Sweet,Umami",0,1,1,1,626.2166249999998,1,8,1
QIEELEGK,Umami,1,0,1,1,1054.444875,1,8,1
TDVEQEGD,Umami,1,0,1,1,525.58,1,8,1
GLLPDGTPR,"Sweet,Salt,Umami",0,1,0,1,1316.6044444444442,0,9,1
STMLLESER,"Sweet,Umami",0,0,1,1,943.3895555555556,1,9,1
LLLPGELAK,"Sweet,Umami,Kokumi",0,0,1,0,1678.9361111111111,0,9,1
LLLPGELAF,Umami,0,0,0,0,1801.040555555555,0,9,1
PGPAGPAGP,"Sweet,Umami",0,0,0,1,1339.9635555555553,0,9,1
GPAGPAGPR,Umami,0,0,0,1,1126.8116666666665,1,9,1
MAASGDVGK,Umami,1,1,1,1,725.7251111111111,1,9,1
TREQMIHER,Umami,0,1,1,1,851.8112222222223,1,9,1
EGSTIGLSK,Umami,1,0,1,1,884.460888888889,1,9,1
ANPGPVRDLR,Umami,0,0,1,1,1222.6902000000002,0,10,1
QVAIAHRDAK,Umami,1,1,1,0,1001.9466,1,10,1
AGFAGDDAPR,Umami,1,0,0,1,925.2596999999997,1,10,1
GYSFTTTAER,Umami,1,1,1,1,883.93,1,10,1
GFSFTTTAER,"Sweet,Umami,Kokumi",0,0,1,1,856.9342999999999,1,10,1
VVLNPVARVE,"Sweet,Umami",0,1,1,1,1392.3091999999995,0,10,1
LLDAFFFDNK,Umami,0,0,1,1,1603.4968,0,10,1
EATLWDMEEK,Umami,1,0,1,1,887.9913,1,10,1
DEDFKREP,Umami,1,1,1,1,1207.340875,0,8,1
LYER,"Sweet,Umami,Kokumi",1,1,0,1,1642.4374999999998,0,4,1
VRSY,"Sweet,Umami,Kokumi",1,0,1,1,1332.46475,0,4,1
NGKET,Umami,1,1,0,1,515.0683999999999,1,5,1
EHAMLN,"Umami,Kokumi",0,1,1,1,930.9136666666664,1,6,1
EFKEYN,Umami,1,0,1,1,1358.9428333333333,0,6,1
KGRYER,"Sweet,Umami,Kokumi",1,1,0,1,1063.5031666666666,1,6,1
TLRRCM,"Umami,Kokumi",1,0,1,1,1103.718,1,6,1
DFKREP,Umami,0,1,1,1,1428.2238333333335,0,6,1
DREKFDE,Umami,1,1,1,1,1001.3322857142856,1,7,1
PGGVRNG,"Sour,Umami,Kokumi",0,0,1,1,736.4945714285714,1,7,1
PVARMCR,"Umami,Kokumi",1,1,1,1,1261.7332857142858,0,7,1
NWDDMEK,"Sweet,Umami",1,1,1,1,688.0319999999999,1,7,1
EFEGGSIEH,Umami,0,0,0,1,861.8981111111111,1,9,1
YKCKDGDLR,"Umami,Kokumi",0,0,1,1,1233.520333333333,0,9,1
ASLDGEFKG,"Sweet,Umami,Kokumi",1,1,1,1,931.1791111111113,1,9,1
DVNNPANQLD,Umami,1,0,1,1,872.4627999999999,1,10,1
